ingress_pps,flow_mod_pps,pkt_out_pps,pkt_in_pps,rule_pps,egress_pps,expected_ingress,expected_flow_mod,expected_pkt_out
10.0260,10.0005,10.0006,10.0276,10.8750,9.7938,10.0000,10.0000,10.0000
10.0271,10.0001,99.1308,10.0316,11.5750,96.9341,10.0000,10.0000,100.0000
10.0263,9.9987,387.7833,10.0247,11.0750,379.1729,10.0000,10.0000,400.0000
10.0263,9.9985,664.9380,10.0270,11.5250,650.2169,10.0000,10.0000,700.0000
10.0267,9.9964,931.7294,10.0307,11.2000,911.1386,10.0000,10.0000,1000.0000
10.0264,97.9367,9.9497,10.0269,55.1500,9.7353,10.0000,100.0000,10.0000
10.0264,97.8012,97.8742,10.0232,55.5500,95.7352,10.0000,100.0000,100.0000
10.0256,97.6053,380.8473,10.0296,58.2000,372.4956,10.0000,100.0000,400.0000
10.0266,97.7032,651.5540,10.0245,57.9250,637.1399,10.0000,100.0000,700.0000
10.0267,97.4639,910.2726,10.0251,55.2250,890.1820,10.0000,100.0000,1000.0000
10.0264,373.6842,9.8731,9.3977,47.3000,7.6684,10.0000,400.0000,10.0000
10.0267,372.4190,94.5924,9.0244,49.6333,73.6651,10.0000,400.0000,100.0000
10.0258,372.1301,371.7082,9.8439,51.8333,283.4735,10.0000,400.0000,400.0000
10.0269,370.3139,618.9403,9.8789,50.5000,466.2518,10.0000,400.0000,700.0000
10.0267,367.5408,843.3846,9.9535,50.3000,628.4386,10.0000,400.0000,1000.0000
10.0268,651.5118,9.9256,9.6548,50.1500,4.5290,10.0000,700.0000,10.0000
10.0261,648.3919,96.4069,9.0371,43.0500,44.1378,10.0000,700.0000,100.0000
10.0268,644.7587,369.7241,9.0071,49.6000,169.5308,10.0000,700.0000,400.0000
10.0270,643.6172,642.6852,9.8066,50.4000,291.8155,10.0000,700.0000,700.0000
10.0268,633.6405,825.2169,9.3724,48.5000,378.6581,10.0000,700.0000,1000.0000
10.0268,917.3719,9.9373,8.3507,44.2000,3.2825,10.0000,1000.0000,10.0000
10.0269,915.2670,96.9591,9.8654,49.9000,32.2357,10.0000,1000.0000,100.0000
10.0267,910.0953,366.4215,9.7607,45.9000,121.3197,10.0000,1000.0000,400.0000
10.0262,903.3991,610.2215,9.8535,52.9000,200.8991,10.0000,1000.0000,700.0000
10.0264,897.8205,895.0620,8.9974,55.2000,296.9754,10.0000,1000.0000,1000.0000
99.8151,10.0009,10.0006,99.8404,11.4000,9.7953,100.0000,10.0000,10.0000
99.7673,10.0005,99.0288,99.7867,11.4750,96.8482,100.0000,10.0000,100.0000
99.8310,10.0005,386.6704,99.8324,11.5000,378.1641,100.0000,10.0000,400.0000
99.8033,9.9990,661.7883,99.8055,10.9000,647.2149,100.0000,10.0000,700.0000
99.8097,10.0005,925.9003,99.8407,11.1500,904.8532,100.0000,10.0000,1000.0000
99.8042,97.8740,9.9750,99.8291,55.6250,9.7628,100.0000,100.0000,10.0000
99.7958,97.7897,97.7882,99.8409,57.9250,95.6479,100.0000,100.0000,100.0000
99.7811,97.6576,379.8234,99.8013,58.7000,371.4945,100.0000,100.0000,400.0000
99.7934,97.6759,648.0417,99.8339,58.5000,633.6547,100.0000,100.0000,700.0000
99.8094,97.5019,903.7516,99.8326,58.3250,883.6776,100.0000,100.0000,1000.0000
99.8011,376.2386,9.9075,50.1694,48.1000,7.2380,100.0000,400.0000,10.0000
99.7766,375.9827,95.5039,38.1129,46.7000,70.7048,100.0000,400.0000,100.0000
99.8243,376.7598,376.4054,40.2171,52.9000,268.5288,100.0000,400.0000,400.0000
99.8047,378.1311,632.3714,16.9703,49.2000,443.1817,100.0000,400.0000,700.0000
99.8219,369.7070,847.5551,80.2010,52.7500,572.8153,100.0000,400.0000,1000.0000
99.8002,656.4690,9.9507,15.3065,61.7000,4.3455,100.0000,700.0000,10.0000
99.8340,652.9047,97.0259,10.0106,60.0000,42.1510,100.0000,700.0000,100.0000
99.8275,648.9893,372.0024,13.7475,53.8000,164.3045,100.0000,700.0000,400.0000
99.8223,641.9112,640.7120,26.8783,57.3000,276.3762,100.0000,700.0000,700.0000
99.7358,630.9447,823.6543,62.0381,43.6000,356.7173,100.0000,700.0000,1000.0000
99.8159,917.6391,9.9568,24.5003,57.7000,3.1718,100.0000,1000.0000,10.0000
99.7818,915.9615,96.9898,30.4863,52.7000,30.5940,100.0000,1000.0000,100.0000
99.8197,910.4388,366.6259,31.9314,46.9000,115.5619,100.0000,1000.0000,400.0000
99.7739,903.3054,610.9244,38.2592,50.4000,192.2247,100.0000,1000.0000,700.0000
99.8039,896.6224,891.7056,49.1062,51.1000,277.7905,100.0000,1000.0000,1000.0000
397.0747,10.0012,10.0013,101.1980,11.7750,9.7939,400.0000,10.0000,10.0000
397.0507,9.9990,99.0675,101.1789,11.3000,96.8867,400.0000,10.0000,100.0000
397.0459,9.9989,386.7180,101.2437,11.1000,378.2163,400.0000,10.0000,400.0000
396.6981,10.0002,661.5069,101.2015,11.1500,647.0724,400.0000,10.0000,700.0000
396.8927,9.9993,925.7292,101.1928,11.2000,905.3834,400.0000,10.0000,1000.0000
396.9914,97.7430,9.9527,101.1491,58.1000,9.7367,400.0000,100.0000,10.0000
397.2271,97.7326,97.7350,101.2378,58.7250,95.5997,400.0000,100.0000,100.0000
396.7820,97.7004,379.6934,101.1124,55.6250,371.3242,400.0000,100.0000,400.0000
397.1283,97.6718,648.3335,101.1588,55.1500,634.0906,400.0000,100.0000,700.0000
397.1291,97.5633,901.0815,101.1370,55.3250,881.2206,400.0000,100.0000,1000.0000
396.9177,376.2850,9.8993,51.5585,48.8000,7.2525,400.0000,400.0000,10.0000
397.0001,376.0810,95.5206,44.5817,50.4500,69.5939,400.0000,400.0000,100.0000
396.9646,374.8790,374.4558,55.0215,47.0000,266.3190,400.0000,400.0000,400.0000
397.0608,373.0004,623.0436,56.3409,50.4000,437.0504,400.0000,400.0000,700.0000
397.1173,373.0516,849.6528,19.3475,49.4500,578.7157,400.0000,400.0000,1000.0000
397.3588,656.6265,9.9150,14.4364,51.9000,4.3724,400.0000,700.0000,10.0000
397.0424,653.5751,97.2553,11.3806,57.6000,42.6437,400.0000,700.0000,100.0000
396.8655,649.5450,372.1391,13.2377,48.9500,163.7611,400.0000,700.0000,400.0000
397.0444,646.5664,645.5467,41.6154,51.5000,279.0050,400.0000,700.0000,700.0000
396.8604,633.3974,819.6396,30.4163,50.5000,361.7648,400.0000,700.0000,1000.0000
396.9542,924.4266,9.9677,21.1085,48.1000,3.1574,400.0000,1000.0000,10.0000
397.0015,922.8207,97.7162,52.8551,47.5000,30.7520,400.0000,1000.0000,100.0000
397.1083,909.9343,366.5402,42.6000,44.6500,116.3924,400.0000,1000.0000,400.0000
396.9858,903.9416,611.0683,43.5417,48.3000,191.3745,400.0000,1000.0000,700.0000
396.9444,897.6429,894.9416,42.0240,48.9000,279.3971,400.0000,1000.0000,1000.0000
691.1641,10.0005,10.0006,101.1912,11.5000,9.7941,700.0000,10.0000,10.0000
692.2195,9.9988,99.0500,101.2246,11.0000,96.8914,700.0000,10.0000,100.0000
691.1611,10.0006,386.4807,101.2410,11.4500,377.9962,700.0000,10.0000,400.0000
691.6967,9.9999,661.3259,101.2117,11.1000,646.8766,700.0000,10.0000,700.0000
691.2971,10.0002,926.3878,101.1868,11.4750,906.0203,700.0000,10.0000,1000.0000
691.7506,97.8046,9.9584,101.2247,57.9750,9.7533,700.0000,100.0000,10.0000
691.2710,97.8510,97.8164,101.1864,56.1250,95.6798,700.0000,100.0000,100.0000
691.3431,97.5617,379.3557,101.5663,54.8250,370.9510,700.0000,100.0000,400.0000
691.6543,97.7238,648.1820,101.2001,58.3000,633.9161,700.0000,100.0000,700.0000
692.3565,97.6708,902.6453,101.2043,54.9250,882.7730,700.0000,100.0000,1000.0000
691.6351,383.7425,9.9409,21.8865,48.0500,7.2650,700.0000,400.0000,10.0000
691.1627,375.6004,95.4340,47.2502,48.2500,70.4579,700.0000,400.0000,100.0000
691.4242,374.7567,374.1916,55.0151,50.1500,265.9337,700.0000,400.0000,400.0000
690.8215,372.4857,621.4201,85.2990,49.1500,421.7262,700.0000,400.0000,700.0000
691.2101,369.1535,842.6077,88.2734,49.2500,570.7504,700.0000,400.0000,1000.0000
691.1732,654.9182,9.9411,13.0908,52.0000,4.3309,700.0000,700.0000,10.0000
691.4722,653.4611,97.2670,12.9810,57.2000,42.6513,700.0000,700.0000,100.0000
691.3019,648.7486,371.3143,15.7357,53.3000,163.6498,700.0000,700.0000,400.0000
692.0643,647.5015,646.4421,37.0427,54.3000,277.7511,700.0000,700.0000,700.0000
690.9942,632.6557,816.8075,53.1950,52.7000,351.9096,700.0000,700.0000,1000.0000
691.6222,916.1251,9.9592,24.2527,46.7000,3.0876,700.0000,1000.0000,10.0000
690.9992,917.1416,97.1950,26.0796,40.0000,30.7205,700.0000,1000.0000,100.0000
691.1822,910.6764,366.6352,31.7240,55.1000,115.4399,700.0000,1000.0000,400.0000
691.5929,902.5423,609.4382,40.9833,54.1000,191.7577,700.0000,1000.0000,700.0000
691.4330,896.9493,893.4784,40.7751,45.6500,279.3898,700.0000,1000.0000,1000.0000
978.4486,10.0005,10.0008,101.2289,12.0000,9.7931,1000.0000,10.0000,10.0000
979.3862,10.0002,99.0413,101.2056,11.7250,96.8470,1000.0000,10.0000,100.0000
978.4402,9.9993,386.4190,101.2286,11.1000,377.9339,1000.0000,10.0000,400.0000
978.4757,10.0006,661.2887,101.1903,11.4000,646.7450,1000.0000,10.0000,700.0000
979.5669,10.0001,926.2698,101.2155,11.5000,905.7648,1000.0000,10.0000,1000.0000
978.1514,97.7845,9.9469,101.1536,57.9750,9.7383,1000.0000,100.0000,10.0000
978.2766,97.7333,97.7787,101.2130,58.6750,95.6379,1000.0000,100.0000,100.0000
978.1596,97.6806,379.5968,101.1558,55.4000,371.3270,1000.0000,100.0000,400.0000
977.7052,97.6591,648.2055,101.1752,55.5250,633.9583,1000.0000,100.0000,700.0000
978.3653,97.6417,903.9652,101.1609,55.9000,884.0548,1000.0000,100.0000,1000.0000
978.1393,375.7979,9.8560,69.5112,54.4000,7.1396,1000.0000,400.0000,10.0000
979.6340,378.6484,96.0545,26.8718,50.8000,70.4524,1000.0000,400.0000,100.0000
978.7557,374.2924,373.7216,69.2563,47.4000,268.1785,1000.0000,400.0000,400.0000
979.2867,372.6917,622.5679,75.9254,47.9667,432.2911,1000.0000,400.0000,700.0000
977.6100,369.2717,842.9982,89.7303,50.0333,569.7097,1000.0000,400.0000,1000.0000
978.1750,655.2718,9.9310,12.4236,57.6000,4.2896,1000.0000,700.0000,10.0000
978.2352,654.1562,97.2202,12.5134,54.8000,42.7736,1000.0000,700.0000,100.0000
979.9276,649.4988,372.2457,15.9863,52.5500,163.2447,1000.0000,700.0000,400.0000
977.5231,647.6583,646.5381,19.0158,55.7500,278.4988,1000.0000,700.0000,700.0000
978.5243,632.6192,822.5251,46.3309,49.3000,360.9349,1000.0000,700.0000,1000.0000
977.9508,917.3785,9.9357,35.4417,48.4000,3.0881,1000.0000,1000.0000,10.0000
978.8932,915.5440,97.1250,29.4491,47.7000,31.1879,1000.0000,1000.0000,100.0000
979.0099,910.2102,366.4718,38.4501,49.5000,115.0684,1000.0000,1000.0000,400.0000
980.2308,903.6223,609.8526,42.3652,49.1500,191.4264,1000.0000,1000.0000,700.0000
978.5696,895.8552,892.4503,37.7086,44.7000,279.3608,1000.0000,1000.0000,1000.0000
